Winning Numbers,Month,Day,Hour,Minute
"[7, 8, 18, 20, 27, 28, 32, 36, 39, 42, 44, 46, 56, 63, 64, 67, 69, 76, 77, 78]",6,8,11,0
"[5, 10, 12, 14, 18, 23, 24, 27, 35, 45, 50, 54, 55, 56, 62, 64, 68, 69, 73, 75]",6,8,11,5
"[6, 8, 10, 18, 21, 22, 23, 27, 38, 47, 48, 49, 51, 55, 56, 64, 71, 72, 75, 77]",6,8,11,10
"[4, 9, 15, 23, 27, 32, 39, 48, 50, 52, 57, 58, 65, 70, 71, 73, 75, 77, 78, 79]",6,8,11,15
"[7, 12, 13, 17, 19, 21, 25, 26, 32, 34, 37, 38, 41, 46, 50, 53, 57, 59, 65, 75]",6,8,11,20
"[3, 6, 15, 16, 20, 22, 26, 27, 35, 39, 41, 42, 46, 58, 61, 62, 65, 70, 72, 74]",6,8,11,25
"[1, 3, 10, 15, 17, 18, 20, 24, 28, 32, 36, 41, 44, 50, 52, 53, 55, 65, 67, 68]",6,8,11,30
"[2, 7, 8, 9, 15, 20, 25, 27, 31, 36, 37, 39, 51, 61, 62, 66, 68, 72, 74, 77]",6,8,11,35
"[7, 8, 10, 21, 22, 23, 24, 36, 38, 42, 59, 62, 63, 70, 71, 72, 73, 75, 76, 77]",6,8,11,40
"[7, 11, 14, 17, 23, 30, 31, 32, 33, 36, 39, 46, 52, 56, 58, 63, 66, 67, 74, 77]",6,8,11,45
"[8, 13, 14, 15, 20, 24, 28, 31, 35, 43, 45, 50, 52, 59, 63, 67, 70, 71, 77, 79]",6,8,11,50
"[1, 8, 15, 24, 34, 37, 38, 42, 45, 51, 55, 60, 61, 70, 71, 74, 75, 77, 79, 80]",6,8,11,55
"[5, 9, 14, 15, 16, 29, 34, 37, 40, 41, 45, 47, 49, 50, 53, 57, 65, 66, 71, 80]",6,8,12,0
"[3, 13, 18, 19, 20, 22, 24, 28, 30, 31, 33, 36, 42, 56, 59, 63, 67, 73, 76, 77]",6,8,12,5
"[1, 12, 13, 17, 19, 20, 21, 23, 29, 32, 36, 41, 44, 46, 55, 58, 59, 61, 62, 78]",6,8,12,10
"[4, 6, 7, 12, 17, 18, 19, 20, 25, 27, 31, 32, 35, 36, 40, 44, 49, 55, 66, 80]",6,8,12,15
"[4, 6, 12, 13, 16, 20, 32, 37, 40, 42, 46, 47, 53, 54, 62, 65, 66, 68, 74, 76]",6,8,12,20
"[11, 18, 21, 23, 24, 25, 29, 33, 35, 40, 44, 55, 59, 62, 63, 64, 65, 70, 71, 80]",6,8,12,25
"[1, 2, 15, 19, 26, 27, 34, 35, 37, 43, 44, 49, 51, 53, 62, 63, 66, 69, 73, 75]",6,8,12,30
"[1, 2, 15, 18, 25, 28, 31, 33, 35, 38, 43, 45, 52, 55, 57, 60, 65, 68, 71, 73]",6,8,12,35
"[8, 15, 17, 18, 25, 26, 35, 41, 44, 46, 47, 49, 52, 56, 57, 61, 71, 74, 76, 80]",6,8,12,40
"[1, 4, 11, 14, 18, 21, 31, 37, 42, 48, 51, 52, 55, 59, 62, 63, 65, 67, 77, 80]",6,8,12,45
"[2, 4, 14, 27, 30, 35, 37, 39, 40, 41, 43, 44, 47, 48, 52, 54, 58, 65, 71, 80]",6,8,12,50
"[2, 3, 9, 11, 12, 20, 23, 24, 25, 26, 27, 28, 39, 47, 54, 58, 67, 68, 73, 76]",6,8,12,55
"[7, 11, 15, 22, 23, 30, 31, 33, 35, 37, 38, 40, 43, 56, 57, 58, 66, 68, 70, 78]",6,8,13,0
"[7, 9, 11, 12, 13, 14, 18, 21, 27, 28, 29, 33, 40, 41, 44, 50, 53, 56, 61, 63]",6,8,13,5
"[1, 2, 4, 12, 14, 15, 17, 19, 26, 28, 31, 33, 35, 36, 39, 54, 67, 72, 76, 79]",6,8,13,10
"[4, 11, 13, 19, 23, 26, 27, 28, 35, 38, 42, 60, 61, 62, 67, 71, 72, 74, 77, 79]",6,8,13,15
"[6, 7, 12, 16, 21, 24, 26, 27, 32, 37, 41, 42, 51, 55, 61, 64, 66, 67, 70, 80]",6,8,13,20
"[2, 10, 16, 20, 23, 30, 33, 35, 37, 38, 40, 42, 47, 48, 51, 52, 55, 62, 72, 73]",6,8,13,25
"[1, 3, 6, 7, 10, 13, 16, 21, 43, 46, 48, 55, 57, 62, 66, 70, 74, 76, 78, 79]",6,8,13,30
"[3, 4, 7, 11, 12, 16, 21, 34, 35, 41, 43, 44, 49, 52, 60, 61, 63, 71, 75, 79]",6,8,13,35
"[12, 14, 15, 16, 19, 33, 39, 41, 49, 50, 51, 53, 57, 66, 68, 72, 76, 77, 78, 79]",6,8,13,40
"[6, 8, 14, 19, 21, 25, 30, 41, 42, 43, 44, 48, 50, 53, 55, 68, 69, 74, 77, 80]",6,8,13,45
"[1, 3, 12, 23, 30, 31, 34, 35, 38, 41, 42, 48, 50, 53, 57, 60, 62, 64, 68, 72]",6,8,13,50
"[6, 11, 13, 15, 19, 20, 22, 24, 28, 37, 38, 39, 40, 45, 51, 52, 54, 55, 60, 64]",6,8,13,55
"[4, 5, 7, 14, 16, 21, 23, 25, 29, 30, 33, 36, 37, 47, 55, 57, 59, 62, 74, 75]",6,8,14,0
"[1, 2, 8, 11, 15, 17, 18, 21, 26, 27, 30, 41, 45, 47, 50, 52, 57, 58, 66, 78]",6,8,14,5
"[18, 23, 29, 35, 37, 42, 44, 49, 51, 54, 56, 57, 58, 60, 61, 63, 65, 72, 79, 80]",6,8,14,10
"[4, 5, 6, 16, 21, 34, 38, 43, 46, 48, 49, 51, 52, 54, 56, 65, 66, 69, 73, 77]",6,8,14,15
"[1, 2, 6, 19, 29, 31, 33, 36, 38, 41, 47, 51, 52, 57, 61, 63, 65, 72, 76, 77]",6,8,14,20
"[8, 13, 24, 26, 30, 31, 37, 42, 45, 49, 53, 54, 55, 62, 67, 68, 69, 70, 73, 77]",6,8,14,25
"[3, 16, 19, 30, 35, 39, 46, 48, 52, 53, 54, 56, 58, 62, 63, 64, 67, 68, 73, 76]",6,8,14,30
"[5, 6, 10, 11, 12, 17, 18, 39, 41, 53, 55, 56, 59, 61, 62, 66, 67, 71, 75, 76]",6,8,14,35
"[1, 2, 5, 13, 14, 32, 34, 39, 40, 48, 51, 55, 56, 57, 59, 61, 68, 69, 70, 73]",6,8,14,40
"[12, 14, 19, 24, 25, 26, 33, 34, 35, 39, 42, 43, 45, 46, 50, 63, 71, 75, 76, 78]",6,8,14,45
"[2, 11, 15, 19, 20, 25, 28, 29, 31, 36, 37, 43, 45, 54, 60, 64, 65, 68, 69, 74]",6,8,14,50
"[4, 13, 14, 16, 20, 25, 26, 29, 35, 39, 44, 45, 49, 50, 53, 57, 61, 64, 68, 77]",6,8,14,55
"[6, 10, 13, 15, 20, 24, 37, 39, 41, 42, 43, 46, 52, 53, 54, 65, 67, 68, 73, 75]",6,8,15,0
"[1, 3, 9, 13, 16, 17, 19, 20, 23, 25, 26, 31, 38, 41, 44, 47, 52, 57, 60, 80]",6,8,15,5
"[4, 6, 8, 14, 20, 23, 25, 28, 30, 36, 37, 40, 47, 49, 53, 54, 56, 63, 66, 69]",6,8,15,10
"[2, 10, 13, 15, 18, 25, 27, 28, 32, 38, 40, 41, 43, 47, 50, 59, 70, 75, 77, 78]",6,8,15,15
"[3, 5, 8, 9, 12, 13, 18, 21, 22, 23, 24, 32, 33, 36, 45, 51, 53, 55, 70, 79]",6,8,15,20
"[1, 11, 17, 18, 19, 20, 22, 25, 33, 38, 46, 48, 50, 57, 60, 61, 66, 67, 70, 72]",6,8,15,25
"[1, 3, 21, 22, 33, 35, 37, 40, 42, 45, 50, 53, 55, 56, 62, 64, 66, 68, 69, 76]",6,8,15,30
"[4, 8, 19, 27, 30, 34, 43, 46, 50, 51, 52, 54, 55, 56, 57, 61, 64, 66, 74, 75]",6,8,15,35
"[2, 18, 25, 28, 29, 30, 32, 33, 35, 38, 45, 54, 55, 56, 58, 66, 70, 73, 75, 78]",6,8,15,40
"[1, 3, 14, 17, 24, 25, 27, 30, 43, 45, 47, 54, 57, 61, 67, 68, 70, 73, 78, 80]",6,8,15,45
"[1, 3, 8, 10, 12, 17, 21, 24, 37, 40, 43, 46, 48, 51, 55, 64, 67, 68, 70, 77]",6,8,15,50
"[7, 11, 17, 18, 23, 26, 27, 32, 34, 40, 41, 53, 58, 60, 63, 64, 67, 69, 76, 80]",6,8,15,55
"[6, 11, 20, 21, 22, 27, 31, 33, 37, 41, 42, 46, 49, 54, 56, 58, 70, 71, 79, 80]",6,8,16,0
"[1, 7, 9, 12, 13, 28, 29, 31, 36, 43, 46, 55, 57, 64, 66, 70, 73, 74, 76, 80]",6,8,16,5
"[11, 18, 19, 27, 30, 32, 37, 40, 41, 42, 43, 46, 50, 52, 53, 55, 64, 66, 70, 80]",6,8,16,10
"[1, 18, 20, 21, 26, 38, 39, 40, 42, 44, 45, 50, 53, 58, 59, 60, 64, 73, 74, 76]",6,8,16,15
"[10, 13, 16, 18, 32, 38, 39, 41, 46, 48, 49, 51, 55, 58, 62, 65, 66, 68, 72, 80]",6,8,16,20
"[3, 10, 17, 23, 27, 28, 30, 31, 39, 45, 46, 50, 53, 54, 56, 57, 58, 66, 68, 76]",6,8,16,25
"[1, 5, 6, 15, 16, 19, 25, 33, 39, 40, 42, 47, 50, 51, 55, 59, 63, 64, 68, 78]",6,8,16,30
"[1, 5, 6, 10, 15, 19, 22, 24, 28, 32, 36, 44, 46, 47, 56, 60, 63, 71, 74, 78]",6,8,16,35
"[3, 4, 14, 20, 24, 25, 26, 27, 32, 38, 39, 41, 44, 46, 48, 49, 53, 58, 63, 74]",6,8,16,40
"[3, 4, 10, 12, 16, 20, 22, 26, 27, 34, 35, 36, 40, 44, 47, 57, 66, 72, 74, 76]",6,8,16,45
"[5, 7, 18, 19, 27, 31, 33, 35, 37, 41, 44, 46, 54, 58, 60, 64, 67, 68, 75, 77]",6,8,16,50
"[3, 10, 15, 19, 24, 26, 31, 34, 35, 36, 41, 42, 49, 56, 58, 65, 72, 73, 77, 78]",6,8,16,55
"[5, 8, 10, 16, 19, 22, 23, 30, 31, 39, 42, 46, 53, 56, 62, 71, 75, 77, 79, 80]",6,8,17,0
"[1, 8, 9, 11, 14, 19, 24, 28, 29, 32, 34, 38, 40, 42, 45, 50, 63, 72, 73, 80]",6,8,17,5
"[1, 2, 4, 10, 12, 23, 27, 30, 32, 36, 39, 41, 48, 50, 57, 65, 68, 75, 76, 78]",6,8,17,10
"[9, 12, 13, 15, 16, 17, 21, 26, 31, 37, 38, 47, 48, 50, 64, 67, 68, 70, 79, 80]",6,8,17,15
"[1, 3, 6, 7, 8, 19, 23, 24, 28, 37, 41, 46, 52, 56, 59, 64, 71, 72, 76, 80]",6,8,17,20
"[2, 9, 17, 20, 22, 24, 27, 29, 34, 38, 40, 50, 52, 58, 62, 65, 66, 70, 73, 80]",6,8,17,25
"[4, 6, 18, 25, 27, 34, 35, 40, 41, 46, 49, 50, 51, 65, 68, 70, 71, 72, 74, 79]",6,8,17,30
"[4, 5, 11, 15, 18, 24, 26, 29, 32, 34, 37, 40, 43, 47, 55, 56, 67, 71, 79, 80]",6,8,17,35
"[3, 4, 13, 14, 15, 19, 21, 25, 32, 33, 42, 45, 49, 50, 55, 61, 64, 71, 76, 80]",6,8,17,40
"[4, 13, 15, 19, 26, 29, 31, 34, 38, 43, 47, 50, 54, 56, 65, 68, 71, 75, 76, 80]",6,8,17,45
"[5, 8, 13, 14, 17, 19, 22, 27, 38, 42, 46, 50, 53, 54, 55, 60, 70, 72, 74, 77]",6,8,17,50
"[6, 20, 22, 24, 26, 30, 34, 36, 39, 40, 41, 44, 58, 61, 63, 65, 67, 72, 75, 80]",6,8,17,55
"[3, 4, 6, 8, 16, 18, 25, 28, 29, 30, 40, 45, 57, 64, 67, 68, 70, 73, 75, 76]",6,8,18,0
"[5, 9, 11, 14, 18, 19, 22, 27, 31, 32, 37, 42, 45, 62, 65, 69, 70, 72, 75, 79]",6,8,18,5
"[3, 17, 19, 26, 27, 28, 29, 35, 41, 45, 48, 50, 54, 56, 59, 61, 66, 70, 73, 76]",6,8,18,10
"[10, 12, 14, 18, 19, 23, 25, 33, 39, 40, 42, 46, 48, 54, 56, 69, 70, 72, 75, 77]",6,8,18,15
"[6, 10, 12, 15, 21, 27, 31, 38, 40, 41, 44, 45, 46, 49, 51, 54, 59, 61, 72, 77]",6,8,18,20
"[2, 16, 17, 19, 23, 37, 39, 40, 45, 46, 48, 50, 52, 55, 60, 62, 67, 68, 75, 78]",6,8,18,25
"[6, 8, 14, 16, 18, 19, 28, 29, 36, 39, 43, 47, 49, 56, 58, 62, 63, 65, 69, 79]",6,8,18,30
"[1, 3, 7, 10, 15, 23, 25, 27, 35, 36, 40, 45, 49, 50, 55, 56, 58, 59, 60, 70]",6,8,18,35
"[1, 3, 11, 30, 31, 34, 37, 38, 43, 46, 47, 49, 50, 54, 62, 64, 67, 68, 71, 74]",6,8,18,40
"[1, 4, 5, 11, 14, 15, 17, 30, 33, 35, 36, 38, 42, 45, 61, 64, 65, 74, 76, 79]",6,8,18,45
"[1, 9, 11, 15, 19, 26, 29, 31, 38, 40, 53, 54, 55, 63, 69, 70, 72, 76, 79, 80]",6,8,18,50
"[8, 13, 14, 16, 20, 25, 27, 30, 45, 46, 48, 62, 63, 69, 73, 74, 75, 76, 78, 79]",6,8,18,55
"[6, 17, 21, 31, 32, 36, 41, 48, 49, 50, 52, 53, 54, 59, 70, 73, 75, 77, 78, 79]",6,8,19,0
"[2, 5, 6, 9, 11, 18, 19, 21, 24, 25, 28, 29, 30, 37, 41, 45, 48, 58, 69, 72]",6,8,19,5
"[2, 4, 7, 10, 20, 22, 26, 28, 29, 32, 33, 36, 40, 46, 51, 62, 66, 74, 75, 79]",6,8,19,10
"[1, 3, 5, 6, 8, 9, 16, 24, 25, 31, 41, 47, 50, 52, 53, 56, 66, 68, 77, 80]",6,8,19,15
"[9, 10, 11, 13, 17, 20, 21, 30, 35, 39, 41, 56, 59, 62, 69, 70, 73, 74, 75, 80]",6,8,19,20
"[1, 2, 4, 6, 11, 14, 15, 24, 34, 41, 50, 54, 56, 60, 63, 67, 69, 70, 73, 79]",6,8,19,25
"[5, 6, 15, 18, 23, 27, 28, 29, 32, 33, 38, 51, 59, 60, 61, 63, 65, 77, 78, 79]",6,8,19,30
"[6, 7, 13, 15, 18, 19, 27, 28, 30, 35, 36, 40, 45, 53, 55, 57, 59, 63, 70, 80]",6,8,19,35
"[15, 16, 18, 30, 33, 35, 37, 38, 39, 40, 41, 46, 48, 49, 54, 57, 71, 72, 74, 76]",6,8,19,40
"[2, 17, 18, 30, 33, 37, 38, 39, 42, 45, 46, 49, 52, 55, 62, 64, 65, 70, 73, 75]",6,8,19,45
"[1, 16, 17, 22, 23, 26, 31, 36, 39, 44, 45, 46, 50, 54, 58, 63, 66, 70, 79, 80]",6,8,19,50
"[1, 4, 5, 6, 10, 12, 13, 21, 27, 28, 30, 33, 40, 44, 46, 65, 69, 75, 77, 80]",6,8,19,55
"[1, 3, 6, 9, 12, 20, 22, 25, 29, 33, 34, 37, 45, 55, 58, 61, 65, 72, 77, 78]",6,8,20,0
"[4, 13, 14, 22, 24, 31, 37, 38, 40, 42, 43, 62, 63, 64, 65, 66, 67, 68, 74, 80]",6,8,20,5
"[1, 4, 7, 10, 13, 18, 19, 20, 31, 32, 33, 38, 40, 46, 52, 59, 62, 66, 71, 73]",6,8,20,10
"[2, 3, 7, 8, 16, 26, 29, 36, 38, 50, 53, 58, 60, 61, 68, 69, 70, 75, 78, 79]",6,8,20,15
"[6, 7, 11, 12, 19, 30, 32, 39, 46, 49, 51, 53, 54, 55, 60, 62, 68, 74, 75, 77]",6,8,20,20
"[1, 2, 4, 5, 7, 8, 11, 13, 17, 27, 29, 37, 38, 42, 51, 56, 60, 62, 63, 72]",6,8,20,25
"[4, 5, 8, 9, 14, 17, 18, 22, 24, 26, 28, 33, 45, 48, 52, 55, 66, 71, 72, 74]",6,8,20,30
"[5, 9, 11, 19, 22, 29, 31, 32, 33, 35, 37, 39, 52, 54, 55, 57, 59, 65, 66, 68]",6,8,20,35
"[2, 11, 14, 15, 20, 26, 27, 31, 35, 36, 39, 43, 47, 49, 64, 65, 72, 76, 78, 80]",6,8,20,40
"[4, 6, 12, 14, 19, 20, 26, 28, 36, 37, 56, 57, 58, 61, 63, 70, 74, 75, 76, 78]",6,8,20,45
"[3, 4, 8, 17, 21, 34, 36, 39, 41, 43, 46, 47, 52, 56, 59, 63, 66, 71, 78, 79]",6,8,20,50
"[5, 6, 12, 18, 20, 21, 22, 24, 26, 33, 38, 39, 41, 44, 48, 50, 59, 60, 72, 80]",6,8,20,55
"[2, 6, 14, 16, 22, 30, 32, 33, 39, 48, 57, 58, 59, 64, 69, 73, 74, 76, 79, 80]",6,9,5,0
"[1, 11, 22, 23, 29, 31, 33, 38, 39, 41, 44, 45, 47, 58, 61, 62, 64, 67, 76, 78]",6,9,5,5
"[8, 9, 10, 16, 17, 20, 21, 23, 24, 27, 39, 40, 44, 45, 46, 50, 52, 64, 72, 76]",6,9,5,10
"[3, 4, 17, 21, 25, 28, 29, 33, 38, 43, 44, 47, 52, 54, 64, 69, 72, 74, 76, 78]",6,9,5,15
"[3, 4, 5, 6, 9, 12, 22, 26, 37, 38, 51, 56, 64, 66, 67, 68, 69, 74, 75, 79]",6,9,5,20
"[2, 7, 9, 11, 18, 23, 29, 31, 32, 36, 47, 48, 51, 53, 55, 57, 70, 73, 74, 77]",6,9,5,25
"[5, 8, 10, 12, 13, 23, 27, 33, 43, 47, 52, 53, 58, 59, 62, 67, 70, 75, 76, 78]",6,9,5,30
"[4, 10, 11, 13, 22, 24, 26, 28, 46, 53, 58, 59, 60, 62, 65, 66, 74, 78, 79, 80]",6,9,5,35
"[3, 7, 11, 13, 15, 19, 21, 26, 36, 42, 43, 46, 53, 56, 60, 65, 68, 69, 72, 77]",6,9,5,40
"[5, 6, 7, 8, 18, 25, 26, 35, 38, 42, 45, 48, 53, 63, 65, 66, 67, 70, 79, 80]",6,9,5,45
"[8, 10, 19, 26, 27, 28, 30, 36, 43, 44, 51, 54, 55, 61, 66, 68, 73, 74, 79, 80]",6,9,5,50
"[1, 7, 11, 18, 19, 25, 30, 33, 34, 36, 42, 44, 48, 52, 61, 63, 67, 74, 76, 78]",6,9,5,55
"[8, 13, 16, 23, 25, 29, 30, 34, 39, 40, 41, 43, 46, 50, 59, 62, 64, 75, 76, 78]",6,9,6,0
"[1, 5, 9, 16, 20, 29, 30, 34, 36, 40, 43, 44, 52, 53, 60, 61, 62, 67, 75, 79]",6,9,6,5
"[2, 6, 11, 15, 16, 21, 23, 25, 28, 31, 32, 36, 38, 39, 43, 44, 45, 57, 71, 73]",6,9,6,10
"[6, 8, 9, 19, 28, 31, 33, 34, 42, 44, 46, 54, 56, 58, 65, 66, 71, 76, 77, 78]",6,9,6,15
"[6, 7, 9, 12, 25, 31, 32, 34, 35, 36, 43, 45, 50, 52, 54, 57, 60, 63, 74, 77]",6,9,6,20
"[4, 8, 18, 21, 23, 26, 27, 29, 33, 34, 40, 48, 49, 51, 52, 59, 62, 68, 76, 79]",6,9,6,25
"[4, 10, 15, 24, 31, 32, 34, 36, 38, 39, 41, 44, 46, 51, 52, 56, 58, 65, 66, 71]",6,9,6,30
"[3, 4, 12, 13, 23, 26, 27, 29, 31, 33, 37, 41, 43, 54, 62, 67, 71, 73, 76, 78]",6,9,6,35
"[3, 25, 28, 29, 31, 32, 33, 34, 36, 37, 42, 43, 44, 46, 50, 57, 59, 60, 61, 77]",6,9,6,40
"[6, 8, 12, 16, 18, 19, 28, 37, 38, 42, 43, 49, 50, 53, 57, 58, 59, 62, 75, 77]",6,9,6,45
"[2, 4, 8, 9, 15, 18, 20, 32, 34, 37, 40, 41, 45, 53, 57, 58, 63, 65, 68, 74]",6,9,6,50
"[4, 9, 15, 17, 18, 20, 22, 23, 24, 29, 34, 49, 53, 54, 58, 59, 63, 73, 74, 78]",6,9,6,55
"[1, 4, 11, 16, 17, 18, 19, 20, 26, 28, 34, 36, 48, 54, 57, 64, 66, 70, 71, 73]",6,9,7,0
"[6, 10, 17, 20, 23, 28, 30, 34, 36, 39, 40, 43, 57, 61, 63, 71, 75, 76, 77, 78]",6,9,7,5
"[3, 7, 10, 36, 37, 39, 42, 43, 44, 51, 57, 60, 63, 64, 70, 72, 73, 75, 79, 80]",6,9,7,10
"[2, 4, 6, 7, 24, 32, 33, 41, 42, 46, 47, 52, 55, 64, 66, 68, 71, 72, 73, 76]",6,9,7,15
"[5, 7, 8, 9, 17, 22, 25, 26, 27, 30, 35, 36, 44, 45, 46, 53, 61, 67, 71, 73]",6,9,7,20
"[7, 13, 14, 16, 17, 19, 23, 44, 49, 51, 54, 55, 56, 57, 59, 64, 65, 71, 73, 74]",6,9,7,25
"[2, 21, 22, 23, 25, 26, 28, 29, 31, 36, 44, 45, 46, 58, 60, 66, 72, 74, 77, 78]",6,9,7,30
"[2, 3, 6, 8, 20, 22, 26, 28, 30, 34, 36, 37, 42, 47, 57, 59, 62, 72, 76, 78]",6,9,7,35
"[2, 5, 8, 9, 17, 25, 29, 30, 38, 45, 46, 48, 49, 53, 57, 60, 65, 70, 71, 78]",6,9,7,40
"[7, 12, 14, 18, 27, 29, 32, 39, 45, 51, 53, 55, 56, 60, 61, 63, 64, 73, 76, 80]",6,9,7,45
"[1, 4, 7, 13, 15, 16, 23, 24, 26, 27, 37, 43, 44, 51, 60, 66, 68, 70, 71, 77]",6,9,7,50
"[5, 13, 15, 18, 19, 29, 34, 39, 44, 47, 54, 62, 66, 67, 73, 74, 75, 76, 77, 78]",6,9,7,55
"[8, 18, 21, 24, 26, 31, 32, 34, 38, 39, 43, 47, 53, 59, 65, 66, 67, 68, 71, 76]",6,9,8,0
"[3, 8, 13, 14, 17, 18, 29, 30, 34, 35, 38, 40, 56, 58, 63, 66, 67, 70, 77, 78]",6,9,8,5
"[1, 2, 10, 12, 13, 23, 24, 28, 29, 32, 34, 39, 43, 48, 50, 52, 65, 66, 68, 80]",6,9,8,10
"[3, 4, 10, 13, 17, 26, 31, 35, 39, 42, 46, 51, 52, 64, 65, 66, 67, 69, 76, 77]",6,9,8,15
"[2, 5, 6, 10, 12, 22, 29, 34, 36, 43, 53, 54, 56, 58, 65, 70, 74, 77, 79, 80]",6,9,8,20
"[3, 4, 5, 11, 15, 33, 39, 41, 42, 47, 50, 51, 52, 53, 55, 61, 68, 73, 74, 75]",6,9,8,25
"[1, 2, 4, 6, 12, 14, 18, 33, 35, 36, 38, 42, 60, 63, 66, 68, 69, 72, 73, 75]",6,9,8,30
"[7, 9, 11, 16, 19, 20, 30, 32, 37, 39, 45, 46, 56, 60, 65, 66, 73, 74, 77, 78]",6,9,8,35
"[10, 19, 25, 26, 27, 36, 37, 38, 40, 44, 45, 52, 53, 54, 61, 69, 74, 75, 76, 78]",6,9,8,40
"[6, 10, 12, 15, 21, 23, 28, 30, 32, 33, 37, 43, 48, 50, 53, 63, 64, 65, 75, 80]",6,9,8,45
"[1, 10, 13, 19, 21, 22, 25, 35, 50, 53, 54, 55, 57, 58, 67, 68, 69, 70, 71, 73]",6,9,8,50
"[5, 6, 10, 20, 21, 28, 38, 41, 42, 47, 48, 58, 59, 60, 61, 65, 69, 72, 73, 79]",6,9,8,55
"[1, 2, 3, 14, 20, 22, 30, 32, 34, 35, 41, 42, 50, 56, 61, 64, 66, 73, 76, 80]",6,9,9,0
"[2, 3, 6, 16, 17, 20, 23, 27, 29, 30, 32, 34, 35, 37, 45, 46, 48, 50, 66, 72]",6,9,9,5
"[2, 8, 17, 18, 20, 22, 30, 33, 35, 39, 40, 43, 45, 47, 54, 56, 66, 68, 69, 79]",6,9,9,10
"[3, 5, 8, 9, 13, 16, 19, 20, 21, 22, 23, 28, 30, 31, 34, 45, 54, 59, 75, 79]",6,9,9,15
"[1, 4, 11, 12, 20, 22, 27, 29, 35, 44, 46, 49, 51, 54, 66, 67, 72, 74, 76, 77]",6,9,9,20
"[7, 11, 17, 22, 23, 25, 28, 32, 34, 37, 38, 39, 43, 45, 52, 61, 63, 66, 70, 79]",6,9,9,25
"[3, 9, 10, 17, 21, 23, 25, 26, 27, 31, 37, 40, 42, 43, 47, 55, 57, 70, 77, 78]",6,9,9,30
"[6, 9, 14, 18, 21, 24, 25, 28, 29, 30, 31, 34, 41, 61, 64, 68, 69, 70, 74, 76]",6,9,9,35
"[5, 6, 9, 11, 12, 16, 21, 23, 25, 37, 41, 44, 45, 59, 61, 65, 67, 68, 70, 75]",6,9,9,40
"[2, 3, 8, 18, 21, 23, 25, 27, 30, 31, 35, 37, 50, 53, 59, 65, 66, 71, 74, 80]",6,9,9,45
